"List_Name","Intersection","Genes","Num_Genes"
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt","tloc1, zgc:101719, wu:fb96b08, PTBP2, zgc:77127, VPS26A, SUSD5, fb39b02, zgc:76940, CBX1, NXF3, SWT1, wu:fb69g03, otr, hmgn1a, CPVL, RNMT, ATP8B3, SLC25A47, kny, SLC25A51, si:ch211-110p13.1, NUP88, zgc:66488, MTDH, PTMA, MT-ND2, GTPBP1, zgc:153231, CLIC4, ANKRD24, TMC4, fhdc3, fc02d01, diras1, EXOSC1, si:ch211-170h2.4, MTA1, zgc:77429, fb74a08, wu:fj10g10, ch:af064832, LOC101882067, LOC103910729, FXYD6P3, itm1, gorasp1, MARCKSL1, zgc:110237, PPP2R1B, SDHAF3, OSBPL8, NDRG4, tpm1.3, wu:fj36c01, OPN1LW, cul9, MIP, ITGA5, STT3B, crp, wu:fb26a05, cvl2, si:dkey-47k20.8.1, zgc:92053, FOXRED1, NUCKS1, EIF4B, INPP5D, UPF3A, ALDH9A1, si:dkey-1f1.2, CPNE4, slc25a3.1, wu:fk53a11, NAALAD2, EIF5A, FRAS1, UTP20, QRFPR, cryba1l, zgc:136570, EP400, PSD3, LOC101882400, ROBO1, RGR, tpm4.1, FEN1, PPP2R1B, FBXO2, HTT, RAB26, MBD3, TPM1, zgc:100801, SLC25A3, STRA6, zgc:110608, EIF4B, TPM3, tpm2.1, sb:cb385, UBA2, zgc:109979, MT-ND5, cb674.2, OPN1LW, MYL2, CPNE4, ncbp1, PUM1, LOC108182767, ns:zf-e250, CHCHD6, ces2, zgc:103768, cb674.1, CORO6, MRPL10, RPS7, zgc:103551, NUP62, PTMA, tpm1.8, zmp:0000000846.1, nadl1.1, snrpfl, si:ch211-237l4.2, si:dkey-98f17.5, zgc:92116, soga3b, si:dkey-202g17.3, PARP2, zgc:77799, SRPRA, DOCK7, zgc:103443, im:7045267, KERA, zgc:92720, zgc:101613, tpm1.7, zgc:85935, ZMYND8, MYNN, TRIO, tpm2.2, PIP4K2C, OPN1SW, zgc:103663, SLC25A3, si:dkey-23a13.21, ZCCHC13, COL1A1, tpm4.2, TPM2, ENPP1, LOC110438752, tpm1.10, si:dkey-234n3.1, zgc:101559, tpm1.4, BTF3L4, H3C6, zgc:162825, SCG2, CCDC88A, H3-3A, wu:fb40a03, CRYGA, TPM2, si:dkey-245n4.2, TPM4, YWHAH, RPL23A, CAPRIN1, TPM4, im:7140733, tpm1.5, zgc:73373, atp5f1, zgc:86655, zgc:123327, MFHAS1, zK13A21.2, LOC110439404, ZZEF1, LBR, zgc:153863, LOC108183295, SKP1, NLGN1, LOC108183495, CDH4, TNMD, SRPX, RPL22, tjp1b.1, LOC559196, crybb1l1, HHATL, DPYSL2, ATP1B3, MAB21L1, GNGT2, zgc:63734, zgc:153192, TOM70, CPLX4, SLC25A24, NLRP1, wu:fb17a03, kcnk12l, NLGN3, VWA2, wu:fa28b06, ROBO3, RLBP1, INPP5K, zgc:109968, rtn2, RAB1B, CALN1, HBG2, fa08f12, LGALS2, SARAF, zgc:63718, zgc:77592, TMEM38A, anx6, tpm3.2, anx2a, EWSR1, wu:fb20a07, SNAP91, tpm1.2, ANX V, si:ch211-222l21.1, wu:fa93f05, zgc:55622.1, zgc:65861, tpm3.1, WDR82, MADD, si:dkey-237g15.4, TPM3, LOC566194, zgc:110460, si:ch211-107p11.3, wu:fi39b12, TPM1-1.2, TPM1, HKDC1, APOA4, im:6899248, wu:fb70e09, id:ibd1241, TPM1, si:ch211-127h20.1, RPS8, CAPRIN1, SI, si:ch211-215a10.5, PRPH2, WNT5A, CH73-211A15.2, THBS4, EMC3, tmp4, PRRC2B, zgc:92706, zgc:66078, RPS21, HNRNPA1, TXNL1, cpt1ab.1, wu:fd99b01, ADAM12, ap2a1.2, x, si:dkey-1k23.3, CCDC177, wu:fb39a11, RAB35, NDUFA4, cb836.1, zgc:113144, zgc:112138, SRSF3, zgc:86898, cb213.1, crygnb, efemp2, AGRN, zgc:158138, SRSF6, itgb1.1, a2ml.1",300
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt","RPTP[a], zgc:77725, JMJD8, TFRC, TMC4, si:ch211-170h2.4, SLC1A3, SLC1A3, zgc:92347, CPT1B, cb348, SDHAF3, MYOZ1, PPP2R5C, SET, im:6903440, THOC1, EZR, UPF3A, zgc:153192, si:dkey-97k23.2, NRCAM, cul9, zgc:66168, MAU2, UBC, RABGEF1, zgc:56097, FREM2, zgc:63662, CAMLG, KCNJ13, ARL6IP1, PTPRG, EMC3, CORO1C, zgc:163093, sept5a, SNRPA, crp, DDX4, CAPNS1, si:dkey-21n12.2, CPNE4, ap2a1.2, zgc:92209, eef1da.1, DLC1, si:dkeyp-92c9.4, si:ch211-212k18.4, PIP4K2C, zgc:111945, zgc:55648, zgc:86655",54
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN12_wt","LOC101885844, zgc:92243, zgc:92053, WDR26, wu:fj62a01, wu:fj60e01, wu:fa01e01, im:7150907, zgc:63525, CYP27B1, ZMYND11, LYAR, CLDND1, RBM39, zgc:55492, PIP4K2C, zgc:77820, HNRNPC, si:dkey-23f9.3, CLP1, im:6905414, wu:fc38g05, KLHL30, im:6971267, id:ibd5050, GTPBP3, zgc:110112, zgc:110815, zgc:92901, SF3B6, GID8, NIBAN2, ARPC4, zgc:101719, RAB27B, YWHAZ, im:7136651, MT-ND4, zgc:153247, ATL1, SLC25A33, si:dkey-183j2.10, PDCL3, RAP1GDS1, wu:fb38c07, hspa4, MYO1E, LIIIa, zgc:55840, wu:fc06e01, CKB, zgc:77326, wu:fc15g12, zgc:85963, PRMT1, EMC1, PSMA6, ARL15, SLC25A1, Nav1.4b, CFL2, RPA1, im:6908825, MOGS, taf15.1, TRIO, SH3GL2, SLC2A1, atp5i, snrpfl, NIPSNAP2, SELENOF, BFSP1, ncam1a.1, fc74e05, RPL30, GALNT8, wu:fa98f07, zgc:112199, BAZ1B, TMEM160, GRIA1, PSAP, wu:fb18b07, BIGH3, COX7A2, TLK1, MBD3, UBR5, SIN3A, CHD7, PRRC2C, PTPN9, NXF3, zgc:123327, NDUFS4, zgc:103663, ADSL, ZNF576, SGCA, MAN1A2, PZP, CAST, SLC15A1, si:ch211-246f9.1, RAD21, DNAJC5, SART3, dnl2, TLE3, wu:fi04h11, zgc:136869, LOC100537361, H1-1, tpm1.7, LOC110439183, cb572, DNAJC5, NLGN2, tpm1.6, zgc:162271, DSC2, GSK3B, TPM1, LGALS2, zgc:86632, NAT1A, si:dkey-217k21.3, ano5a.1, USP7, rtn4.1, fk35b03, tpm1.3, SYP, si:dz150f13.2, db03h10, kif1b.1, TPM4, RTN4, skiv2l2, zgc:92850, CKB, NDUFV3, zgc:110617, CALR, KIDINS220, TPM1-1.1, wu:fc19f05, LUM, EEF1G, LOC569982, aldh2a, NAA50, zgc:63662, GCA, DPYSL2, zgc:77760, CTNNB1, MYO1B, gna11",160
"list_larvae_pval_CLN4_NTC_UP","CLN4_L115_NTC","FHIP1B, NDUFB9, ITPA, TMEM67, KPNA4, LTBP2, FAM234B, COQ9, PSMC4, HDAC4, STUB1, SLC24A2, VBP1, BNIPL, ARL8A, COMMD9, FAM171A2, GAPDHS, SLC4A10, ZBTB39, MAP7D1, NDUFA9, DNA2, RTN4, CTNNA2, DST, DYNLL2, MATK, SCP2, CCDC30, SNX2, USO1, GLUD1, MYH10, RUFY3, HNRNPAB, MMRN1, RIDA, TECPR1, CAST, DNAJC28, PEA15, CCDC163, RTN1, DYNLL1, ACTR1B, MYH9, NCDN, CADM3, HSPA5",50
"list_larvae_pval_CLN4_NTC_UP","CLN4_L116_NTC","FHIP1B, NDUFB9, ALG2, LTBP2, ARL8A, GABRB2, GOLPH3, PCBD1, KIAA0513, TTC1, BNIPL, ZMPSTE24, RPS5, ZBTB39, FAM171A2, GANAB, GNG5, ITGAV, MAP7D1, SYNJ2, STMN1, PSIP1, GPD1, CNDP2, CLIP2, USO1, DDX3X, SNAP25, MMRN1, PPIA, DYNLL2, GLS, ATP2B3, NCAN, CCDC30, KMT2A, GPM6B, GLUL, MYH14, CLTB, SPTAN1, TMC7, EIF4B, RPS15A, ATP2B2, DST, IDH3A, CCDC163, ESPN, UQCRFS1",50
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN3_Lux2_wt","TMC4, si:ch211-170h2.4, SDHAF3, cul9, crp, UPF3A, CPNE4, PIP4K2C, zgc:86655, zgc:153192, EMC3, ap2a1.2",12
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_Larvae_CLN12_wt","zgc:101719, NXF3, tpm1.3, zgc:92053, MBD3, TPM1, snrpfl, tpm1.7, TRIO, PIP4K2C, zgc:103663, TPM4, zgc:123327, DPYSL2, LGALS2",15
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_CLN4_L115_NTC","",0
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux1_wt_AND_CLN4_L116_NTC","EIF4B",1
"list_larvae_pval_CLN4_NTC_UP","Larvae_CLN3_Lux2_wt_AND_Larvae_CLN12_wt","zgc:63662, PIP4K2C",2
